,ene 01,feb 01,mar 01,abr 01,may 01,jun 01,jul 01,ago 01,sept 01,oct 01,nov 01,dic 01
Spend,"$ 150,872",,,,,,,,,,,
Downloads,"97,846",,,,,,,,,,,
CPI (Without Retargeting),$1.54,,,,,,,,,,,
Signups,"86,349",,,,,,,,,,,
CPNU (Without Retargeting),$1.75,,,,,,,,,,,
Fts Started,"16,000",,,,,,,,,,,
CPFT,$9.43,,,,,,,,,,,
FTs Converted,"2,622",,,,,,,,,,,
CPFT Converted ,$57.54,,,,,,,,,,,
CAC,$ 22.54,,,,,,,,,,,
New Subscriptions,"6,694",,,,,,,,,,,
New Subscriptions (original),"6,175",,,,,,,,,,,
New Subscriptions (without FT converted),"4,072",,,,,,,,,,,
Renewals ,"2,132",,,,,,,,,,,
Num of Refunds,752,,,,,,,,,,,
Other Purchases,8,,,,,,,,,,,
Conversion Rate,7.75%,,,,,,,,,,,
FT Conversion Rate (Signups),3.04%,,,,,,,,,,,
New Purchases Conversion Rate,4.72%,,,,,,,,,,,
ARPU (new subscriptions),50,,,,,,,,,,,
ARPU (new subscriptions month lvl),$5,,,,,,,,,,,
ARPU Others,230,,,,,,,,,,,
ARPU consolidated (new subscriptions + other purchases),50,,,,,,,,,,,
New Subscriptions Sales Month Lvl,"$31,510",,,,,,,,,,,
New Subscriptions Sales (original),"$296,923",,,,,,,,,,,
New Subscriptions Sales,"$ 335,883",,,,,,,,,,,
Renewals Sales ,"$ 32,795",,,,,,,,,,,
Other Sales,"$ 1,844",,,,,,,,,,,
Total Sales (original),"$ 331,562",,,,,,,,,,,
Refunds Amount,"$55,342",,,,,,,,,,,
Commission %,68%,,,,,,,,,,,
Total Sales,"$315,181",,,,,,,,,,,
Net Sales*,"$213,481",,,,,,,,,,,
Gross Margin*,"$62,609",,,,,,,,,,,
Net Sales (original),"$224,916",,,,,,,,,,,
Gross Margin* (original),"$74,044",,,,,,,,,,,
NU/D,0.88,,,,,,,,,,,
Duration New Bookings,11.87,,,,,,,,,,,
Distinct count of Network,9,,,,,,,,,,,