Budget 2026 KPIs 1,,,,,,,,,,,,
,,,,,,,,,,,,
Market Spend," $200,000 "," $200,000 "," $200,000 "," $225,492 "," $225,492 "," $225,492 "," $245,100 "," $245,100 "," $245,100 "," $264,708 "," $264,708 "," $264,708 "
CPNU, $1.46 , $1.46 , $1.46 , $1.41 , $1.41 , $1.41 , $1.34 , $1.34 , $1.34 , $1.31 , $1.31 , $1.31 
Signups," 137,193 "," 137,193 "," 137,193 "," 160,238 "," 160,238 "," 160,238 "," 183,057 "," 183,057 "," 183,057 "," 201,604 "," 201,604 "," 201,604 "
Conversion Rate,6.96%,6.96%,6.96%,7.17%,7.17%,7.17%,7.16%,7.16%,7.16%,7.26%,7.26%,7.26%
New Subscribers," 9,552 "," 9,552 "," 9,552 "," 11,492 "," 11,492 "," 11,492 "," 13,103 "," 13,103 "," 13,103 "," 14,634 "," 14,634 "," 14,634 "
Average CAC, $20.94 , $20.94 , $20.94 , $19.62 , $19.62 , $19.62 , $18.71 , $18.71 , $18.71 , $18.09 , $18.09 , $18.09 
Total New Subscriber Sales," $525,960 "," $525,960 "," $525,960 "," $634,500 "," $634,500 "," $634,500 "," $723,678 "," $723,678 "," $723,678 "," $808,364 "," $808,364 "," $808,364 "
Total Renewals," 3,130 "," 3,397 "," 3,405 "," 3,368 "," 3,438 "," 3,525 "," 3,630 "," 3,896 "," 4,125 "," 4,246 "," 4,456 "," 4,609 "
Total Renewals Sales," $86,393 "," $80,679 "," $80,466 "," $74,087 "," $72,010 "," $82,006 "," $91,138 "," $109,047 "," $122,318 "," $112,118 "," $119,129 "," $122,063 "
Total Sales," $612,353 "," $606,639 "," $606,426 "," $708,588 "," $706,511 "," $716,507 "," $814,816 "," $832,725 "," $845,996 "," $920,483 "," $927,493 "," $930,427 "
ARPU (monthly lvl), $6.26 , $6.26 , $6.26 , $6.24 , $6.24 , $6.24 , $6.27 , $6.27 , $6.27 , $6.27 , $6.27 , $6.27 
LTR / CAC, 4.02 , 4.02 , 4.02 , 4.29 , 4.29 , 4.29 , 4.51 , 4.51 , 4.51 , 4.67 , 4.67 , 4.67 
New User ARPU, $55.07 , $55.07 , $55.07 , $55.21 , $55.21 , $55.21 , $55.23 , $55.23 , $55.23 , $55.24 , $55.24 , $55.24 
TICKET VS CAC, $2.63 , $2.63 , $2.63 , $2.81 , $2.81 , $2.81 , $2.95 , $2.95 , $2.95 , $3.05 , $3.05 , $3.05 
Weighted Monthly Churn,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
LTR / CAC,4.022567318,4.022567318,4.022567318,4.288162928,4.288162928,4.288162928,4.512971961,4.512971961,4.512971961,4.666476901,4.666476901,4.666476901
TOTAL MRR,391723.1969,418386.4554,450190.5635,494505.8514,533366.3747,587676.6848,647559.6952,703278.1888,757516.8325,804021.0246,858434.6447,913979.488