Budget 2026 KPIs 3,,,,,,,,,,,,
,,,,,,,,,,,,
Market Spend," $150,000 "," $150,000 "," $150,000 "," $176,042 "," $176,042 "," $176,042 "," $191,350 "," $191,350 "," $191,350 "," $206,658 "," $206,658 "," $206,658 "
CPNU, $1.79 , $1.79 , $1.79 , $1.75 , $1.75 , $1.75 , $1.74 , $1.74 , $1.74 , $1.74 , $1.74 , $1.74 
Signups," 83,583 "," 83,583 "," 83,583 "," 100,548 "," 100,548 "," 100,548 "," 109,768 "," 109,768 "," 109,768 "," 118,549 "," 118,549 "," 118,549 "
Conversion Rate,6.43%,6.43%,6.43%,6.28%,6.28%,6.28%,6.26%,6.26%,6.26%,6.26%,6.26%,6.26%
New Subscribers," 5,374 "," 5,374 "," 5,374 "," 6,313 "," 6,313 "," 6,313 "," 6,876 "," 6,876 "," 6,876 "," 7,426 "," 7,426 "," 7,426 "
Average CAC, $27.91 , $27.91 , $27.91 , $27.89 , $27.89 , $27.89 , $27.83 , $27.83 , $27.83 , $27.83 , $27.83 , $27.83 
Total New Subscriber Sales," $260,833 "," $260,833 "," $260,833 "," $305,271 "," $305,271 "," $305,271 "," $333,531 "," $333,531 "," $333,531 "," $360,214 "," $360,214 "," $360,214 "
Total Renewals," 3,046 "," 2,948 "," 2,712 "," 2,509 "," 2,429 "," 2,407 "," 2,430 "," 2,545 "," 2,666 "," 2,706 "," 2,791 "," 2,854 "
Total Renewals Sales," $85,904 "," $75,588 "," $72,281 "," $63,788 "," $59,773 "," $68,348 "," $76,428 "," $92,458 "," $104,386 "," $93,192 "," $98,645 "," $100,448 "
Total Sales," $346,737 "," $336,421 "," $333,115 "," $369,060 "," $365,044 "," $373,619 "," $409,959 "," $425,989 "," $437,917 "," $453,406 "," $458,859 "," $460,661 "
ARPU (monthly lvl), $5.67 , $5.67 , $5.67 , $5.71 , $5.71 , $5.71 , $5.73 , $5.73 , $5.73 , $5.73 , $5.73 , $5.73 
LTR / CAC, 2.62 , 2.62 , 2.62 , 2.63 , 2.63 , 2.63 , 2.64 , 2.64 , 2.64 , 2.64 , 2.64 , 2.64 
New User ARPU, $48.53 , $48.53 , $48.53 , $48.36 , $48.36 , $48.36 , $48.50 , $48.50 , $48.50 , $48.50 , $48.50 , $48.50 
TICKET VS CAC, $1.74 , $1.74 , $1.74 , $1.73 , $1.73 , $1.73 , $1.74 , $1.74 , $1.74 , $1.74 , $1.74 , $1.74 
Weighted Monthly Churn,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
LTR / CAC,2.61800543,2.61800543,2.61800543,2.62694923,2.62694923,2.62694923,2.640279553,2.640279553,2.640279553,2.640279553,2.640279553,2.640279553
TOTAL MRR,361926.1309,362499.809,369723.6247,383241.377,397232.9195,421589.6097,444471.4708,469388.5617,488361.4255,493172.1556,511525.3002,526591.3848