,,,,,,,,,,,,,,
,P&L Gross Sales Per Month,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,2025,,,,,,,,,,,,
,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total 2025
Overall,REVENUE,,,,,,,,,,,,,
Company,Kinedu Subscriptions App," $260,958 "," $286,865 "," $274,682 "," $269,927 "," $327,386 "," $328,155 "," $328,499 "," $451,427 "," $455,234 "," $455,171 "," $506,383 "," $508,594 "," $4,453,283 "
,Kinedu Subscriptions Off App," $8,704 "," $5,740 "," $5,740 "," $6,240 "," $7,940 "," $7,940 "," $8,940 "," $12,975 "," $12,975 "," $13,975 "," $15,875 "," $15,875 "," $122,919 "
,Other Revenue Partnerships," 25,000 "," 25,000 "," 25,000 "," 30,000 "," 30,000 "," 30,000 "," 30,000 "," 30,000 "," 30,000 "," 40,000 "," 40,000 "," 40,000 "," 375,000 "
,Gross Revenue," $294,663 "," $317,605 "," $305,422 "," $306,167 "," $365,326 "," $366,095 "," $367,439 "," $494,402 "," $498,209 "," $509,146 "," $562,258 "," $564,469 "," $4,951,202 "
,Comissions + Tax and Adjustments," (67,087)"," (72,303)"," (73,597)"," (74,061)"," (91,898)"," (91,917)"," (91,776)"," (125,782)"," (125,646)"," (125,841)"," (133,653)"," (133,765)"," (1,207,326)"
,Net Revenue," $227,575 "," $245,302 "," $231,825 "," $232,107 "," $273,428 "," $274,178 "," $275,663 "," $368,620 "," $372,562 "," $383,306 "," $428,606 "," $430,704 "," $3,743,876 "
,NR %,77%,77%,76%,76%,75%,75%,75%,75%,75%,75%,76%,76%,76%
,,,,,,,,,,,,,,
,COST OF GOODS SOLD,,,,,,,,,,,,,
,Servers/Infrastructure," (7,226)"," (7,226)"," (7,226)"," (7,226)"," (7,226)"," (7,226)"," (7,226)"," (7,226)"," (7,226)"," (7,226)"," (7,226)"," (7,226)"," (86,708)"
,Gross Margin," $220,350 "," $238,076 "," $224,600 "," $224,881 "," $266,202 "," $266,953 "," $268,437 "," $361,395 "," $365,336 "," $376,080 "," $421,380 "," $423,478 "," $3,657,168 "
,GM%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%
,,,,,,,,,,,,,,
,Market Spend," (158,015)"," (153,576)"," (151,600)"," (151,600)"," (151,600)"," (177,600)"," (177,600)"," (177,600)"," (218,800)"," (218,800)"," (218,800)"," (220,000)"," (2,175,591)"
,,,,,,,,,,,,,,
, Contribution Margin ," $62,335 "," $84,500 "," $73,000 "," $73,281 "," $114,602 "," $89,353 "," $90,837 "," $183,795 "," $146,536 "," $157,280 "," $202,580 "," $203,478 "," $1,481,577 "
,Contribution Margin%,21%,27%,24%,24%,31%,24%,25%,37%,29%,31%,36%,36%,30%
,,,,,,,,,,,,,,
,OPERATING EXPENSES,,,,,,,,,,,,,
,Salaries & Wages,-72898.68895,-72898.68895,-72898.68895,-77069.13767,-77069.13767,-77069.13767,-77069.13767,-77069.13767,-77069.13767,-77069.13767,-77069.13767,-142622.7043,-977871.8726
,External Services,-30853.60667,-30854.65795,-30855.70923,-30856.76051,-30857.81179,-30858.86308,-30859.91436,-30860.96564,-30862.01692,-30863.06821,-30864.11949,-30865.17077,-370312.6646
,Travel expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
,Services,-44246.14728,-39836.65959,-4876.147282,-3958.147282,-4058.147282,-3958.147282,-7037.147282,-11267.14728,-10138.76728,-5155.024205,-3968.147282,-4841.147282,-143340.7766
,Other,-2051.282051,-7076.923077,-512.8205128,-7076.923077,-512.8205128,-2820.512821,-512.8205128,-7076.923077,-512.8205128,-1025.641026,-6564.102564,-3333.333333,-39076.92308
,Total Operating Expenses," (150,050)"," (146,012)"," (104,488)"," (114,306)"," (107,843)"," (110,051)"," (110,824)"," (121,619)"," (113,927)"," (109,458)"," (113,810)"," (177,007)",-1479394.394
,Operating Profit," (87,715)"," (61,512)"," (31,488)"," (41,025)"," 6,760 "," (20,699)"," (19,987)"," 62,176 "," 32,609 "," 47,822 "," 88,770 "," 26,471 ",2182.313336
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,NET INCOME," (87,715)"," (61,512)"," (31,488)"," (41,025)"," 6,760 "," (20,699)"," (19,987)"," 62,176 "," 32,609 "," 47,822 "," 88,770 "," 26,471 "," 2,182 "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,